iter	Passed	Remaining
0	792	78436
1	1416	69422
2	2035	65809
3	2639	63343
4	3262	61994
5	3903	61147
6	4626	61466
7	5376	61824
8	6032	60999
9	6667	60009
10	7279	58899
11	7903	57957
12	8515	56988
13	9104	55926
14	9783	55441
15	10470	54967
16	11156	54467
17	11767	53605
18	12397	52850
19	13009	52039
20	13627	51266
21	14206	50369
22	14984	50164
23	15763	49918
24	16586	49760
25	17329	49321
26	18108	48959
27	18855	48485
28	19563	47897
29	20275	47310
30	20962	46657
31	21618	45939
32	22273	45222
33	22923	44498
34	23593	43816
35	24278	43161
36	24958	42497
37	25612	41789
38	26262	41076
39	26904	40357
40	27567	39670
41	28208	38954
42	28844	38235
43	29491	37534
44	30126	36820
45	30763	36113
46	31407	35417
47	32026	34695
48	32666	33999
49	33297	33297
50	33952	32621
51	34609	31947
52	35306	31309
53	35971	30642
54	36646	29983
55	37348	29345
56	37999	28666
57	38636	27978
58	39282	27297
59	39918	26612
60	40559	25931
61	41203	25253
62	41826	24564
63	42467	23887
64	43118	23217
65	43757	22541
66	44430	21883
67	45081	21214
68	45732	20546
69	46345	19862
70	46980	19189
71	47603	18512
72	48220	17834
73	48847	17162
74	49467	16489
75	50103	15822
76	50718	15149
77	51345	14481
78	51955	13810
79	52561	13140
80	53206	12480
81	53824	11815
82	54462	11154
83	55078	10491
84	55731	9835
85	56365	9175
86	57028	8521
87	57678	7865
88	58317	7207
89	58943	6549
90	59573	5891
91	60203	5235
92	60815	4577
93	61456	3922
94	62063	3266
95	62684	2611
96	63287	1957
97	63911	1304
98	64576	652
99	65268	0
