iter	MultiClass
0	2.323537013
1	2.22205764
2	2.173285533
3	2.157294292
4	2.123083649
5	2.105196359
6	2.090686464
7	2.078609105
8	2.055624447
9	2.037490607
10	2.02095639
11	2.004666682
12	1.985630127
13	1.977587147
14	1.972008303
15	1.958056268
16	1.948722277
17	1.938532959
18	1.918346477
19	1.916381675
20	1.905425899
21	1.892928444
22	1.879130618
23	1.866278122
24	1.85445766
25	1.8389358
26	1.824201476
27	1.810629272
28	1.803564598
29	1.788293734
30	1.779611897
31	1.776862893
32	1.773431792
33	1.766681285
34	1.761409008
35	1.756315906
36	1.751738086
37	1.741043312
38	1.739058027
39	1.73031078
40	1.724786787
41	1.718311734
42	1.71249445
43	1.7089936
44	1.706088185
45	1.696854576
46	1.686851546
47	1.685230246
48	1.681540491
49	1.678794231
50	1.674957782
51	1.671811284
52	1.662952281
53	1.661104299
54	1.657072452
55	1.654902691
56	1.652978961
57	1.651419605
58	1.647666083
59	1.64397628
60	1.641609482
61	1.638032143
62	1.636988483
63	1.634275966
64	1.633112031
65	1.631621644
66	1.629601194
67	1.628549162
68	1.623550918
69	1.622477634
70	1.614555316
71	1.610241939
72	1.609324323
73	1.60704753
74	1.602425884
75	1.599971836
76	1.593888524
77	1.590399885
78	1.58804667
79	1.586766668
80	1.584166338
81	1.578196249
82	1.573289728
83	1.571450832
84	1.569510402
85	1.56717427
86	1.564891808
87	1.563721699
88	1.558708824
89	1.555356982
90	1.554747795
91	1.549966043
92	1.549189415
93	1.545960043
94	1.540864052
95	1.539521619
96	1.536934792
97	1.535002611
98	1.53299795
99	1.528711839
